Step: 0, Loss: 0.0806 (Seg: 0.0629, Score: 0.3541), Batch IoU: 0.4821, Mean IoU: 0.4821
Step: 10, Loss: 0.0653 (Seg: 0.0506, Score: 0.2937), Batch IoU: 0.4327, Mean IoU: 0.4816
Step: 20, Loss: 0.0567 (Seg: 0.0438, Score: 0.2579), Batch IoU: 0.4547, Mean IoU: 0.4813
Step: 30, Loss: 0.0853 (Seg: 0.0749, Score: 0.2072), Batch IoU: 0.3903, Mean IoU: 0.4804
Step: 40, Loss: 0.0742 (Seg: 0.0569, Score: 0.3459), Batch IoU: 0.4029, Mean IoU: 0.4796
Step: 50, Loss: 0.0573 (Seg: 0.0409, Score: 0.3278), Batch IoU: 0.4875, Mean IoU: 0.4797
Step: 60, Loss: 0.0612 (Seg: 0.0486, Score: 0.2515), Batch IoU: 0.4403, Mean IoU: 0.4793
Step: 70, Loss: 0.0576 (Seg: 0.0432, Score: 0.2886), Batch IoU: 0.5026, Mean IoU: 0.4795
Step: 80, Loss: 0.0530 (Seg: 0.0390, Score: 0.2807), Batch IoU: 0.4944, Mean IoU: 0.4797
Step: 90, Loss: 0.0525 (Seg: 0.0399, Score: 0.2516), Batch IoU: 0.5039, Mean IoU: 0.4799
Step: 100, Loss: 0.0687 (Seg: 0.0554, Score: 0.2653), Batch IoU: 0.4590, Mean IoU: 0.4797
Step: 110, Loss: 0.0538 (Seg: 0.0409, Score: 0.2592), Batch IoU: 0.4826, Mean IoU: 0.4798
Step: 120, Loss: 0.0805 (Seg: 0.0643, Score: 0.3251), Batch IoU: 0.3922, Mean IoU: 0.4789
Step: 130, Loss: 0.0552 (Seg: 0.0412, Score: 0.2806), Batch IoU: 0.4793, Mean IoU: 0.4789
Step: 140, Loss: 0.0644 (Seg: 0.0496, Score: 0.2953), Batch IoU: 0.4262, Mean IoU: 0.4784
Step: 150, Loss: 0.0592 (Seg: 0.0429, Score: 0.3257), Batch IoU: 0.3806, Mean IoU: 0.4774
Step: 160, Loss: 0.0671 (Seg: 0.0531, Score: 0.2809), Batch IoU: 0.4465, Mean IoU: 0.4771
Step: 170, Loss: 0.0689 (Seg: 0.0535, Score: 0.3087), Batch IoU: 0.4187, Mean IoU: 0.4765
Step: 180, Loss: 0.0518 (Seg: 0.0362, Score: 0.3132), Batch IoU: 0.4894, Mean IoU: 0.4766
Step: 190, Loss: 0.0548 (Seg: 0.0386, Score: 0.3231), Batch IoU: 0.5180, Mean IoU: 0.4770
Step: 200, Loss: 0.0906 (Seg: 0.0745, Score: 0.3221), Batch IoU: 0.4022, Mean IoU: 0.4763
Step: 210, Loss: 0.0578 (Seg: 0.0407, Score: 0.3419), Batch IoU: 0.4887, Mean IoU: 0.4764
Step: 220, Loss: 0.0856 (Seg: 0.0705, Score: 0.3008), Batch IoU: 0.4089, Mean IoU: 0.4757
Step: 230, Loss: 0.0469 (Seg: 0.0330, Score: 0.2775), Batch IoU: 0.4605, Mean IoU: 0.4756
Step: 240, Loss: 0.0559 (Seg: 0.0424, Score: 0.2698), Batch IoU: 0.4966, Mean IoU: 0.4758
Step: 250, Loss: 0.0921 (Seg: 0.0764, Score: 0.3153), Batch IoU: 0.3739, Mean IoU: 0.4748
Step: 260, Loss: 0.0584 (Seg: 0.0460, Score: 0.2471), Batch IoU: 0.4973, Mean IoU: 0.4750
Step: 270, Loss: 0.1011 (Seg: 0.0879, Score: 0.2641), Batch IoU: 0.2802, Mean IoU: 0.4730
Step: 280, Loss: 0.0534 (Seg: 0.0385, Score: 0.2986), Batch IoU: 0.4725, Mean IoU: 0.4730
Step: 290, Loss: 0.0638 (Seg: 0.0500, Score: 0.2759), Batch IoU: 0.4825, Mean IoU: 0.4731
Step: 300, Loss: 0.0631 (Seg: 0.0512, Score: 0.2370), Batch IoU: 0.4350, Mean IoU: 0.4728
Step: 310, Loss: 0.0654 (Seg: 0.0488, Score: 0.3308), Batch IoU: 0.4309, Mean IoU: 0.4723
Step: 320, Loss: 0.1543 (Seg: 0.1401, Score: 0.2835), Batch IoU: 0.4396, Mean IoU: 0.4720
Step: 330, Loss: 0.0548 (Seg: 0.0386, Score: 0.3236), Batch IoU: 0.4773, Mean IoU: 0.4721
Step: 340, Loss: 0.0704 (Seg: 0.0526, Score: 0.3562), Batch IoU: 0.4647, Mean IoU: 0.4720
Step: 350, Loss: 0.0543 (Seg: 0.0394, Score: 0.2979), Batch IoU: 0.5307, Mean IoU: 0.4726
Step: 360, Loss: 0.0732 (Seg: 0.0598, Score: 0.2677), Batch IoU: 0.3376, Mean IoU: 0.4712
Step: 370, Loss: 0.0538 (Seg: 0.0393, Score: 0.2888), Batch IoU: 0.4280, Mean IoU: 0.4708
Step: 380, Loss: 0.0829 (Seg: 0.0684, Score: 0.2897), Batch IoU: 0.3951, Mean IoU: 0.4700
Step: 390, Loss: 0.0730 (Seg: 0.0550, Score: 0.3613), Batch IoU: 0.3663, Mean IoU: 0.4690
Step: 400, Loss: 0.0653 (Seg: 0.0499, Score: 0.3084), Batch IoU: 0.4977, Mean IoU: 0.4693
Step: 410, Loss: 0.0384 (Seg: 0.0275, Score: 0.2185), Batch IoU: 0.4935, Mean IoU: 0.4695
Step: 420, Loss: 0.0597 (Seg: 0.0465, Score: 0.2633), Batch IoU: 0.4531, Mean IoU: 0.4694
Step: 430, Loss: 0.0558 (Seg: 0.0423, Score: 0.2689), Batch IoU: 0.4628, Mean IoU: 0.4693
Step: 440, Loss: 0.0383 (Seg: 0.0249, Score: 0.2670), Batch IoU: 0.4889, Mean IoU: 0.4695
Step: 450, Loss: 0.0419 (Seg: 0.0293, Score: 0.2522), Batch IoU: 0.5138, Mean IoU: 0.4699
Step: 460, Loss: 0.0595 (Seg: 0.0460, Score: 0.2707), Batch IoU: 0.3937, Mean IoU: 0.4692
Step: 470, Loss: 0.0769 (Seg: 0.0653, Score: 0.2310), Batch IoU: 0.4756, Mean IoU: 0.4692
Step: 480, Loss: 0.0483 (Seg: 0.0328, Score: 0.3101), Batch IoU: 0.4134, Mean IoU: 0.4687
Step: 490, Loss: 0.0773 (Seg: 0.0621, Score: 0.3039), Batch IoU: 0.4903, Mean IoU: 0.4689
Step: 500, Loss: 0.0589 (Seg: 0.0434, Score: 0.3103), Batch IoU: 0.5449, Mean IoU: 0.4697
Step: 510, Loss: 0.0533 (Seg: 0.0393, Score: 0.2800), Batch IoU: 0.4750, Mean IoU: 0.4697
Step: 520, Loss: 0.0492 (Seg: 0.0356, Score: 0.2735), Batch IoU: 0.5596, Mean IoU: 0.4706
Step: 530, Loss: 0.0600 (Seg: 0.0461, Score: 0.2789), Batch IoU: 0.4492, Mean IoU: 0.4704
Step: 540, Loss: 0.0686 (Seg: 0.0522, Score: 0.3284), Batch IoU: 0.3832, Mean IoU: 0.4695
Step: 550, Loss: 0.0524 (Seg: 0.0393, Score: 0.2611), Batch IoU: 0.4642, Mean IoU: 0.4695
Step: 560, Loss: 0.0752 (Seg: 0.0558, Score: 0.3879), Batch IoU: 0.4352, Mean IoU: 0.4691
Step: 570, Loss: 0.0649 (Seg: 0.0517, Score: 0.2631), Batch IoU: 0.4141, Mean IoU: 0.4686
Step: 580, Loss: 0.0421 (Seg: 0.0297, Score: 0.2469), Batch IoU: 0.5832, Mean IoU: 0.4697
Step: 590, Loss: 0.0661 (Seg: 0.0525, Score: 0.2723), Batch IoU: 0.4397, Mean IoU: 0.4694
Step: 600, Loss: 0.0676 (Seg: 0.0498, Score: 0.3557), Batch IoU: 0.4489, Mean IoU: 0.4692
Step: 610, Loss: 0.0700 (Seg: 0.0544, Score: 0.3128), Batch IoU: 0.4286, Mean IoU: 0.4688
Step: 620, Loss: 0.0628 (Seg: 0.0505, Score: 0.2456), Batch IoU: 0.4825, Mean IoU: 0.4689
Step: 630, Loss: 0.0426 (Seg: 0.0283, Score: 0.2863), Batch IoU: 0.4639, Mean IoU: 0.4689
Step: 640, Loss: 0.0768 (Seg: 0.0597, Score: 0.3435), Batch IoU: 0.4053, Mean IoU: 0.4683
Step: 650, Loss: 0.0617 (Seg: 0.0476, Score: 0.2811), Batch IoU: 0.3785, Mean IoU: 0.4674
Step: 660, Loss: 0.0570 (Seg: 0.0476, Score: 0.1892), Batch IoU: 0.3916, Mean IoU: 0.4666
Step: 670, Loss: 0.0396 (Seg: 0.0283, Score: 0.2268), Batch IoU: 0.4873, Mean IoU: 0.4668
Step: 680, Loss: 0.0497 (Seg: 0.0408, Score: 0.1774), Batch IoU: 0.4651, Mean IoU: 0.4668
Step: 690, Loss: 0.0502 (Seg: 0.0360, Score: 0.2842), Batch IoU: 0.4699, Mean IoU: 0.4668
Step: 700, Loss: 0.0613 (Seg: 0.0462, Score: 0.3012), Batch IoU: 0.4277, Mean IoU: 0.4664
Step: 710, Loss: 0.0759 (Seg: 0.0580, Score: 0.3578), Batch IoU: 0.4535, Mean IoU: 0.4663
Step: 720, Loss: 0.0575 (Seg: 0.0444, Score: 0.2612), Batch IoU: 0.4576, Mean IoU: 0.4662
Step: 730, Loss: 0.0461 (Seg: 0.0318, Score: 0.2862), Batch IoU: 0.4810, Mean IoU: 0.4664
Step: 740, Loss: 0.0705 (Seg: 0.0558, Score: 0.2935), Batch IoU: 0.3446, Mean IoU: 0.4651
Step: 750, Loss: 0.0521 (Seg: 0.0388, Score: 0.2653), Batch IoU: 0.3733, Mean IoU: 0.4642
Step: 760, Loss: 0.0446 (Seg: 0.0318, Score: 0.2563), Batch IoU: 0.4819, Mean IoU: 0.4644
